Date,Total confirmed cases,Total deaths,Total recovered
Jan 23,555,0,0
Jan 24,653,18,30
Jan 25,941,26,36
Jan 26,2019,56,49
Jan 27,2794,80,54
Jan 28,4473,107,63
Jan 29,6057,132,110
Jan 30,7784,170,133
Jan 31,9795,213,187
Feb 1,11944,259,253
Feb 2,14553,305,343
Feb 3,17408,362,488
Feb 4,20628,427,669
Feb 5,24564,493,913
Feb 6,28289,565,1222
Feb 7,31526,638,1666
Feb 8,34953,725,2331
Feb 9,37597,814,2892
Feb 10,40649,910,3515
Feb 11,43141,1018,4285
Feb 12,45204,1116,5033
Feb 13,60394,1370,6209
Feb 14,64448,1384,7071
Feb 15,67163,1527,8448
Feb 16,69266,1669,9747
Feb 17,71414,1775,11255
Feb 18,73417,1874,13029
Feb 19,75294,2012,14917
Feb 20,75751,2130,16832
Feb 21,76776,2247,18798
Feb 22,77876,2362,21240
Feb 23,78832,2463,23333
Feb 24,79508,2626,25124
Feb 25,80299,2705,27796
Feb 26,81195,2766,30264
Feb 27,82464,2807,33140
Feb 28,83721,2868,36673
Feb 29,85415,2925,39684
Mar 1,87341,2985,42585
Mar 2,89673,3060,45164
Mar 3,92211,3135,48305
Mar 4,94190,3219,51037
Mar 5,96595,3310,53532
Mar 6,100153,3403,55703
Mar 7,102188,3491,57389
Mar 8,107671,3654,60659
Mar 9,111720,3879,62393
Mar 10,115113,4063,64384
Mar 11,121312,4363,66519
Mar 12,126726,4629,67995
Mar 13,138459,5103,70494
Mar 14,145480,5426,72165
Mar 15,156421,5819,73917
Mar 16,172158,6652,78031
Mar 17,191914,7343,80347
Mar 18,204773,8156,82667
Mar 19,219094,8959,84879
Mar 20,236216,9396,86300
Mar 21,284217,11822,92971
