date,infected
2020-01-20,282
2020-01-21,314
2020-01-22,579
2020-01-23,581
2020-01-24,846
2020-01-25,1320
2020-01-26,2014
2020-01-27,2798
2020-01-28,4593
2020-01-29,6065
2020-01-30,7818
2020-01-31,9826
2020-02-01,11953
2020-02-02,14557
2020-02-03,17391
2020-02-04,20630
2020-02-05,24554
2020-02-06,28272
2020-02-07,31481
2020-02-08,34886
2020-02-09,37558
2020-02-10,40554
2020-02-11,43103
2020-02-12,45171
2020-02-13,46997
2020-02-14,49053
2020-02-15,50580
2020-02-16,51857
2020-02-17,71429
2020-02-18,73332
2020-02-19,75204
2020-02-20,75748
2020-02-21,76769
2020-02-22,77794
2020-02-23,78811
2020-02-24,79331
2020-02-25,80239
